iter	MAPE	RMSE
0	1.745877339	1509464.107
1	1.518874737	1312207.822
2	1.323977729	1146918.883
3	1.144570335	1011255.282
4	1.0164531	898619.0962
5	0.8807963206	801939.0126
6	0.7701583977	724051.7432
7	0.684412323	660609.9764
8	0.610556512	607188.3211
9	0.5467496416	563579.8328
10	0.479338178	526084.5077
11	0.4323086421	495548.9714
12	0.3853671455	470074.3485
13	0.3550883177	446730.855
14	0.3126678478	428259.0337
15	0.2816470785	410429.4518
16	0.2679599949	395789.907
17	0.2455292203	383557.3355
18	0.2351253078	371250.2851
19	0.2113883936	360306.305
20	0.1998111814	350126.7773
21	0.1800753197	341753.6829
22	0.1620169064	335202.0812
23	0.1467930556	329339.6096
24	0.1378375275	323673.3061
25	0.1329596928	314852.1641
26	0.125817461	310214.74
27	0.1234530568	306096.5374
28	0.1125986487	299471.7294
29	0.1021805272	295587.2551
30	0.09924576216	291371.503
31	0.09768895588	285464.8769
32	0.09672639989	282532.1002
33	0.08917806198	279602.2331
34	0.08878926515	271693.6146
35	0.08396024295	269066.2943
36	0.07815240938	265696.3358
37	0.07790266053	263377.4973
38	0.07751594663	261193.1613
39	0.07731347037	259192.4403
40	0.07515670511	255867.146
41	0.07488128614	253569.8668
42	0.07433540622	251787.4964
43	0.0737991507	247082.8523
44	0.06887714239	243942.1009
45	0.06875287689	243172.783
46	0.0686212319	241702.9599
47	0.06829876807	237304.6595
48	0.06832045086	236032.9454
49	0.06796104093	232622.8854
50	0.0651924384	228606.1612
51	0.06130657474	227085.5156
52	0.0610081652	225887.4493
53	0.06083438799	222974.5131
54	0.06058703324	222019.4517
55	0.05737392134	220633.0018
56	0.05733243495	219649.7621
57	0.05444536426	218656.4412
58	0.05429357957	216211.8052
59	0.05426069515	215517.4403
60	0.05420891135	212763.4489
61	0.05410878524	210462.0885
62	0.0539457851	208332.5029
63	0.05397176995	204722.7916
64	0.05389801939	204094.679
65	0.0538997273	203541.4888
66	0.05386200706	203030.081
67	0.05374359158	201185.3985
68	0.05373288739	198331.1963
69	0.0536921996	196109.1488
70	0.05209874047	194860.997
71	0.05205115307	191996.5126
72	0.04988704674	190127.7285
73	0.04986754857	189293.9884
74	0.04983644923	188168.5639
75	0.04971982493	186271.3751
76	0.04768524819	184681.8972
77	0.04758300894	183615.3422
78	0.04724748188	182539.6492
79	0.04723902056	180582.9079
80	0.04715355778	179696.3896
81	0.04713297117	177827.4668
82	0.04713362256	176227.0252
83	0.04707941635	174766.6179
84	0.04695248491	173343.3201
85	0.04696791149	171784.74
86	0.0469312522	171140.9027
87	0.04689377601	170519.0168
88	0.04540950955	169909.8072
89	0.04545151132	169329.3494
90	0.04408159223	168418.2737
91	0.04406923017	166828.7708
92	0.04407311111	166102.7531
93	0.04303277446	165740.9094
94	0.04306492398	163697.6747
95	0.04305047202	163064.5035
96	0.04307410606	162094.7913
97	0.04200489221	160988.3548
98	0.04190005738	160324.5786
99	0.04181909981	159120.4877
100	0.04182627966	158555.7592
101	0.04063799718	158291.5928
102	0.04044412368	158033.8148
103	0.04046480055	157483.8547
104	0.04049974309	156643.8148
105	0.04055478604	156238.7576
106	0.03963822875	156007.3489
107	0.03860756536	155660.0403
108	0.03851699852	155408.0314
109	0.03856857199	155044.8626
110	0.03855629192	154854.3728
111	0.03795939367	154664.9424
112	0.03775784323	154463.4785
113	0.03694481802	153521.6491
114	0.03695631211	153163.674
115	0.03603484476	152984.0983
116	0.0360429368	152467.7374
117	0.03603937495	151579.4892
118	0.03604045054	150893.5361
119	0.0357043006	150709.9035
120	0.03571709765	150240.9128
121	0.03568041069	149436.9759
122	0.03567940099	148611.8615
123	0.03505366035	148094.1089
124	0.03467077212	147946.1935
125	0.03465980244	147772.0342
126	0.03412280325	147660.3107
127	0.03343986892	147522.4197
128	0.03342151665	147380.4136
129	0.03282836919	146939.8756
130	0.03271273111	146846.8123
131	0.03272856375	146417.822
132	0.03272197396	146031.1113
133	0.03231664054	145910.7214
134	0.03233302044	145548.8096
135	0.03206008005	145397.3475
136	0.03170385934	145298.1015
137	0.0317331748	144024.217
138	0.03124541297	143817.1481
139	0.03122458738	143596.6838
140	0.03105411335	143401.1722
141	0.03051946619	143290.5369
