iter	Passed	Remaining
429	1696	77191
430	1699	77173
431	1703	77177
432	1707	77151
433	1711	77159
434	1715	77147
435	1719	77168
436	1723	77152
437	1727	77168
438	1731	77151
439	1735	77156
440	1739	77161
441	1744	77189
442	1748	77178
443	1754	77259
444	1758	77277
445	1762	77257
446	1766	77260
447	1769	77240
448	1773	77239
449	1777	77236
450	1781	77227
451	1786	77246
452	1789	77232
453	1793	77221
454	1797	77208
455	1801	77200
456	1805	77196
457	1809	77194
458	1812	77178
459	1817	77196
460	1822	77243
461	1827	77281
462	1831	77275
463	1835	77298
464	1842	77405
465	1846	77404
466	1850	77399
467	1854	77398
468	1859	77436
469	1863	77425
470	1867	77441
471	1871	77448
472	1876	77469
473	1880	77483
474	1884	77479
475	1888	77469
476	1892	77451
477	1895	77406
478	1898	77378
479	1902	77351
480	1905	77338
481	1909	77309
482	1912	77293
483	1916	77275
484	1921	77302
485	1925	77307
486	1928	77289
487	1932	77282
488	1937	77286
489	1940	77255
490	1944	77244
491	1947	77236
492	1951	77218
493	1955	77233
494	1959	77218
495	1963	77218
496	1967	77206
497	1971	77189
498	1975	77183
499	1978	77150
500	1981	77122
501	1985	77111
502	1989	77107
503	1992	77086
504	1996	77079
505	2000	77082
506	2005	77104
507	2009	77087
508	2012	77075
509	2016	77069
510	2020	77074
511	2025	77113
512	2031	77181
513	2035	77184
514	2039	77169
515	2044	77181
516	2047	77168
517	2052	77193
518	2055	77169
519	2059	77143
520	2063	77137
521	2066	77117
522	2070	77116
523	2074	77104
524	2078	77107
525	2082	77089
526	2085	77061
527	2089	77055
528	2092	77028
529	2096	77014
530	2099	76987
531	2103	76992
532	2107	76963
533	2111	76968
534	2115	76970
535	2119	76974
536	2124	76986
537	2128	76989
538	2131	76967
539	2135	76965
540	2139	76939
541	2143	76941
542	2146	76922
543	2150	76907
544	2153	76891
545	2157	76875
546	2161	76871
547	2165	76856
548	2168	76832
549	2172	76822
550	2175	76806
551	2179	76790
552	2183	76802
553	2187	76782
554	2191	76776
555	2194	76758
556	2199	76764
557	2202	76740
558	2206	76745
559	2210	76744
560	2215	76763
561	2219	76757
562	2222	76745
563	2230	76870
564	2236	76927
565	2240	76924
566	2243	76905
567	2248	76919
568	2251	76901
569	2256	76915
570	2260	76903
571	2264	76928
572	2268	76920
573	2272	76909
574	2276	76900
575	2280	76897
576	2284	76889
577	2287	76858
578	2290	76837
579	2294	76836
580	2298	76821
581	2301	76794
582	2305	76789
583	2308	76764
584	2313	76773
585	2316	76748
586	2319	76720
587	2323	76706
588	2326	76682
589	2330	76682
590	2334	76681
591	2338	76680
592	2343	76681
593	2347	76687
594	2350	76669
595	2355	76696
596	2359	76679
597	2363	76676
598	2366	76662
599	2370	76658
600	2374	76637
601	2379	76672
602	2382	76655
603	2387	76658
604	2392	76691
605	2396	76710
606	2400	76699
607	2405	76708
608	2409	76717
609	2412	76694
610	2416	76679
611	2420	76680
612	2424	76664
613	2427	76641
614	2430	76621
615	2434	76607
616	2438	76595
617	2441	76564
618	2444	76545
619	2448	76521
620	2451	76514
621	2455	76492
622	2459	76481
623	2462	76456
624	2465	76426
625	2469	76415
626	2472	76387
627	2475	76363
628	2478	76343
629	2482	76323
630	2486	76313
631	2490	76322
632	2495	76352
633	2499	76354
634	2503	76351
635	2508	76365
636	2511	76342
637	2515	76343
638	2519	76334
639	2523	76323
640	2526	76318
641	2530	76300
642	2534	76288
643	2537	76279
644	2541	76276
645	2545	76254
646	2548	76238
647	2552	76222
648	2556	76216
649	2560	76219
650	2563	76205
651	2567	76191
652	2570	76167
653	2574	76168
654	2578	76163
655	2582	76157
656	2586	76149
657	2589	76131
658	2594	76141
659	2598	76135
660	2601	76108
661	2605	76097
662	2609	76094
663	2612	76067
664	2615	76047
665	2618	76023
666	2624	76059
667	2627	76049
668	2631	76050
669	2635	76034
670	2640	76055
671	2643	76041
672	2647	76028
673	2650	76004
674	2656	76046
675	2659	76032
676	2663	76020
677	2667	76016
678	2672	76035
679	2676	76030
680	2679	76027
681	2684	76031
682	2688	76042
683	2692	76026
684	2695	76001
685	2698	75985
686	2702	75968
687	2705	75942
688	2708	75924
689	2712	75909
690	2716	75915
691	2720	75908
692	2725	75920
693	2730	75961
694	2734	75962
695	2738	75960
696	2742	75953
697	2746	75950
698	2749	75928
699	2754	75955
700	2758	75946
701	2762	75933
702	2766	75933
703	2771	75956
704	2774	75939
705	2779	75948
706	2782	75941
707	2786	75931
708	2790	75916
709	2793	75902
710	2797	75882
711	2800	75874
712	2804	75852
713	2807	75833
714	2811	75818
715	2814	75796
716	2818	75792
717	2822	75791
718	2826	75791
719	2830	75789
720	2834	75785
721	2837	75775
722	2842	75775
723	2846	75778
724	2850	75789
725	2853	75761
726	2857	75757
727	2861	75754
728	2865	75756
729	2869	75737
730	2873	75753
731	2877	75755
732	2881	75743
733	2884	75720
734	2888	75698
735	2891	75686
736	2895	75679
737	2899	75670
738	2902	75661
739	2906	75648
740	2909	75627
741	2914	75635
742	2918	75630
743	2922	75635
744	2925	75617
745	2929	75610
746	2933	75599
747	2937	75596
748	2940	75583
749	2943	75561
750	2947	75547
751	2950	75529
752	2954	75516
753	2957	75499
754	2961	75487
755	2965	75486
756	2969	75472
757	2972	75461
758	2976	75453
759	2979	75439
760	2983	75426
761	2986	75404
762	2990	75393
763	2993	75372
764	2997	75363
765	3000	75340
766	3003	75317
767	3006	75297
768	3010	75275
769	3014	75272
770	3017	75261
771	3021	75247
772	3024	75231
773	3028	75220
774	3031	75196
775	3034	75173
776	3037	75150
777	3041	75138
778	3045	75132
779	3048	75109
780	3051	75091
781	3054	75069
782	3057	75048
783	3061	75042
784	3064	75023
785	3068	75007
786	3072	75000
787	3075	74994
788	3080	74997
789	3083	74977
790	3086	74954
791	3090	74941
792	3094	74942
793	3097	74920
794	3100	74902
795	3104	74894
796	3107	74878
797	3111	74864
798	3114	74850
799	3118	74834
800	3121	74813
801	3124	74795
802	3128	74783
803	3131	74764
804	3135	74753
805	3139	74752
806	3142	74739
807	3146	74726
808	3149	74710
809	3152	74694
810	3156	74687
811	3160	74679
812	3164	74685
813	3167	74669
814	3171	74661
815	3175	74650
816	3179	74644
817	3182	74637
818	3186	74627
819	3189	74613
820	3193	74602
821	3197	74593
822	3200	74583
823	3204	74584
824	3208	74572
825	3212	74561
826	3215	74549
827	3219	74535
828	3223	74538
829	3227	74550
830	3231	74543
831	3236	74556
832	3239	74546
833	3243	74528
834	3246	74517
835	3251	74525
836	3254	74512
837	3258	74506
838	3261	74489
839	3265	74485
840	3268	74464
841	3273	74473
842	3276	74460
843	3279	74440
844	3283	74439
845	3287	74421
846	3290	74417
847	3295	74418
848	3298	74412
849	3302	74413
850	3307	74417
851	3310	74404
852	3314	74404
853	3318	74397
854	3322	74401
855	3326	74404
856	3330	74393
857	3333	74379
858	3337	74366
859	3341	74360
860	3344	74346
861	3348	74340
862	3351	74324
863	3355	74314
864	3359	74306
865	3362	74293
866	3365	74278
867	3372	74330
868	3375	74320
869	3380	74336
870	3384	74326
871	3389	74341
872	3392	74336
873	3397	74344
874	3401	74342
875	3405	74344
876	3409	74341
877	3413	74334
878	3416	74318
879	3420	74318
880	3424	74308
881	3427	74298
882	3430	74280
883	3434	74263
884	3438	74262
885	3442	74258
886	3446	74256
887	3449	74242
888	3453	74236
889	3456	74228
890	3461	74233
891	3465	74238
892	3473	74328
893	3477	74328
894	3481	74322
895	3485	74320
896	3489	74312
897	3493	74306
898	3497	74309
899	3501	74310
900	3504	74295
901	3508	74294
902	3512	74293
903	3517	74298
904	3521	74293
905	3525	74290
906	3528	74287
907	3532	74273
908	3536	74266
909	3539	74261
910	3543	74256
911	3547	74243
912	3551	74242
913	3555	74245
914	3559	74238
915	3563	74233
916	3567	74237
917	3570	74226
918	3575	74231
919	3578	74220
920	3582	74214
921	3585	74200
922	3589	74194
923	3593	74181
924	3597	74184
925	3601	74177
926	3604	74169
927	3608	74165
928	3612	74163
929	3617	74169
930	3621	74172
931	3626	74194
932	3629	74180
933	3634	74190
934	3639	74206
935	3643	74207
936	3647	74213
937	3651	74214
938	3656	74216
939	3660	74213
940	3664	74228
941	3668	74215
942	3672	74209
943	3676	74205
944	3679	74196
945	3683	74195
946	3686	74178
947	3691	74182
948	3694	74167
949	3698	74160
950	3701	74150
951	3705	74148
952	3709	74142
953	3714	74153
954	3717	74143
955	3722	74144
956	3725	74133
957	3729	74132
958	3733	74127
959	3737	74120
960	3741	74116
961	3744	74111
962	3748	74095
963	3751	74082
964	3755	74074
965	3758	74056
966	3761	74040
967	3765	74037
968	3769	74033
969	3773	74028
970	3776	74011
971	3780	73998
972	3783	73983
973	3786	73968
974	3790	73956
975	3793	73940
976	3796	73929
977	3800	73911
978	3803	73898
979	3806	73880
980	3811	73887
981	3814	73873
982	3818	73862
983	3821	73859
984	3825	73849
985	3828	73835
986	3832	73826
987	3835	73815
988	3839	73803
989	3843	73799
990	3846	73783
991	3849	73769
992	3853	73751
993	3856	73739
994	3860	73737
995	3863	73726
996	3868	73725
997	3871	73716
998	3875	73710
999	3879	73715
1000	3883	73709
1001	3886	73688
1002	3890	73681
1003	3893	73671
1004	3896	73654
1005	3900	73641
1006	3904	73639
1007	3908	73639
1008	3912	73638
1009	3915	73628
1010	3919	73622
1011	3923	73610
1012	3928	73638
1013	3932	73632
1014	3936	73624
1015	3940	73628
1016	3944	73627
1017	3948	73617
1018	3951	73607
1019	3954	73591
1020	3959	73593
1021	3962	73580
1022	3966	73579
1023	3970	73570
1024	3974	73567
1025	3978	73569
1026	3982	73570
1027	3986	73572
1028	3991	73582
1029	3995	73590
1030	3999	73582
1031	4003	73581
1032	4007	73573
1033	4010	73570
1034	4015	73575
1035	4019	73581
1036	4026	73635
1037	4030	73631
1038	4035	73648
1039	4039	73651
1040	4044	73655
1041	4049	73676
1042	4053	73674
1043	4058	73690
1044	4062	73695
1045	4067	73699
1046	4071	73708
1047	4075	73708
1048	4080	73709
1049	4083	73700
1050	4087	73700
1051	4091	73688
1052	4095	73685
1053	4098	73678
1054	4102	73671
1055	4106	73665
1056	4109	73655
1057	4113	73646
1058	4116	73629
1059	4120	73629
1060	4124	73630
1061	4128	73618
1062	4131	73606
1063	4135	73599
1064	4139	73595
1065	4142	73584
1066	4147	73587
1067	4150	73571
1068	4154	73564
1069	4157	73557
1070	4162	73560
1071	4165	73555
1072	4170	73569
1073	4174	73562
1074	4179	73570
1075	4182	73556
1076	4185	73546
1077	4189	73539
1078	4193	73535
1079	4197	73534
1080	4201	73527
1081	4204	73510
1082	4207	73496
1083	4211	73483
1084	4214	73474
1085	4218	73470
1086	4221	73458
1087	4225	73445
1088	4228	73432
1089	4232	73422
1090	4236	73421
1091	4240	73417
1092	4243	73410
1093	4247	73403
1094	4251	73399
1095	4254	73390
1096	4258	73381
1097	4262	73371
1098	4265	73364
1099	4270	73367
1100	4274	73367
1101	4278	73364
1102	4282	73377
1103	4286	73364
1104	4290	73360
1105	4293	73354
1106	4297	73343
1107	4318	73634
1108	4328	73732
1109	4334	73766
1110	4338	73765
1111	4343	73771
1112	4354	73889
1113	4358	73892
1114	4362	73891
1115	4365	73872
1116	4369	73860
1117	4372	73853
1118	4376	73844
1119	4380	73846
1120	4384	73838
1121	4387	73827
1122	4391	73818
1123	4395	73820
1124	4400	73833
1125	4404	73825
1126	4407	73815
1127	4411	73808
1128	4415	73802
1129	4419	73796
1130	4422	73785
1131	4426	73780
1132	4430	73785
1133	4434	73770
1134	4437	73752
1135	4441	73748
1136	4444	73733
1137	4452	73796
1138	4455	73781
1139	4458	73765
1140	4463	73768
1141	4466	73760
1142	4470	73757
1143	4474	73748
1144	4478	73743
1145	4482	73742
1146	4485	73735
1147	4490	73741
1148	4494	73733
1149	4497	73726
1150	4501	73714
1151	4504	73701
1152	4509	73705
1153	4513	73708
1154	4517	73703
1155	4520	73694
1156	4524	73688
1157	4528	73690
1158	4532	73682
1159	4537	73691
1160	4540	73682
1161	4545	73682
1162	4548	73675
1163	4552	73669
1164	4556	73660
1165	4560	73659
1166	4563	73651
1167	4567	73648
1168	4571	73646
1169	4576	73650
1170	4579	73635
1171	4582	73620
1172	4585	73605
1173	4589	73592
1174	4592	73582
1175	4596	73570
1176	4599	73560
1177	4604	73562
1178	4609	73576
1179	4612	73559
1180	4616	73560
1181	4620	73558
1182	4623	73548
1183	4627	73538
1184	4630	73527
1185	4635	73530
1186	4638	73523
1187	4643	73525
1188	4647	73520
1189	4650	73511
1190	4654	73504
1191	4657	73490
1192	4661	73479
1193	4664	73467
1194	4668	73458
1195	4671	73448
1196	4675	73443
1197	4678	73431
1198	4681	73416
1199	4686	73418
1200	4690	73413
1201	4694	73416
1202	4698	73408
1203	4702	73410
1204	4706	73409
1205	4710	73401
1206	4713	73386
1207	4717	73384
1208	4720	73367
1209	4724	73364
1210	4728	73360
1211	4731	73347
1212	4735	73342
1213	4738	73330
1214	4743	73335
1215	4747	73333
1216	4750	73325
1217	4754	73320
1218	4758	73316
1219	4763	73319
1220	4767	73322
1221	4770	73309
1222	4774	73307
1223	4778	73296
1224	4781	73288
1225	4785	73277
1226	4788	73268
1227	4792	73261
1228	4796	73260
1229	4800	73250
1230	4803	73243
1231	4807	73230
1232	4810	73215
1233	4813	73197
1234	4817	73193
1235	4821	73198
1236	4825	73195
1237	4829	73191
1238	4833	73189
1239	4836	73178
1240	4840	73170
1241	4844	73170
1242	4847	73156
1243	4851	73148
1244	4855	73141
1245	4859	73139
1246	4862	73131
1247	4866	73124
1248	4870	73123
1249	4873	73105
1250	4877	73098
1251	4880	73089
1252	4884	73082
1253	4890	73108
1254	4896	73133
1255	4900	73127
1256	4903	73118
1257	4906	73098
1258	4910	73097
1259	4915	73103
1260	4918	73093
1261	4923	73097
1262	4927	73095
1263	4931	73100
1264	4935	73092
1265	4939	73088
1266	4942	73083
1267	4946	73081
1268	4950	73069
1269	4954	73065
1270	4958	73060
1271	4962	73063
1272	4966	73064
1273	4969	73048
1274	4972	73028
1275	4976	73021
1276	4979	73005
1277	4982	72994
1278	4985	72973
1279	4989	72967
1280	4993	72963
1281	4996	72950
1282	4999	72941
1283	5003	72931
1284	5007	72928
1285	5010	72919
1286	5014	72914
1287	5018	72904
1288	5021	72892
1289	5025	72888
1290	5028	72878
1291	5032	72870
1292	5035	72853
1293	5040	72858
1294	5044	72865
1295	5048	72856
1296	5051	72846
1297	5055	72835
1298	5059	72832
1299	5062	72826
1300	5066	72820
1301	5069	72809
1302	5074	72815
1303	5078	72808
1304	5081	72797
1305	5084	72784
1306	5088	72771
1307	5091	72763
1308	5095	72755
1309	5099	72749
1310	5102	72739
1311	5105	72726
1312	5109	72718
1313	5113	72711
1314	5117	72718
1315	5121	72709
1316	5124	72702
1317	5128	72689
1318	5131	72678
1319	5134	72667
1320	5139	72667
1321	5143	72665
1322	5147	72666
1323	5152	72680
1324	5157	72697
1325	5161	72687
1326	5165	72689
1327	5169	72680
1328	5173	72684
1329	5177	72673
1330	5180	72664
1331	5183	72653
1332	5187	72645
1333	5191	72641
1334	5195	72633
1335	5198	72625
1336	5201	72613
1337	5206	72617
1338	5209	72605
1339	5213	72598
1340	5217	72593
1341	5220	72581
1342	5224	72580
1343	5228	72575
1344	5231	72566
1345	5235	72553
1346	5238	72543
1347	5242	72533
1348	5245	72518
1349	5248	72507
1350	5251	72493
1351	5255	72484
1352	5258	72475
1353	5262	72475
1354	5266	72463
1355	5270	72470
1356	5274	72459
1357	5277	72445
1358	5281	72441
1359	5285	72442
1360	5289	72436
1361	5293	72441
1362	5298	72445
1363	5302	72444
1364	5306	72445
1365	5310	72448
1366	5314	72444
1367	5319	72455
1368	5325	72473
1369	5328	72465
1370	5332	72460
1371	5336	72460
1372	5341	72464
1373	5344	72455
1374	5349	72454
1375	5353	72458
1376	5357	72452
1377	5360	72447
1378	5364	72438
1379	5368	72437
1380	5371	72424
1381	5375	72413
1382	5379	72409
1383	5382	72402
1384	5387	72403
1385	5390	72394
1386	5394	72387
1387	5397	72379
1388	5402	72383
1389	5405	72369
1390	5409	72363
1391	5413	72364
1392	5419	72385
1393	5424	72406
1394	5429	72409
1395	5434	72427
1396	5437	72413
1397	5441	72401
1398	5445	72397
1399	5448	72390
1400	5452	72379
1401	5455	72375
1402	5460	72374
1403	5464	72374
1404	5467	72366
1405	5471	72362
1406	5476	72365
1407	5479	72357
1408	5483	72349
1409	5486	72339
1410	5490	72330
1411	5494	72328
1412	5498	72323
1413	5501	72317
1414	5504	72299
1415	5508	72290
1416	5511	72281
1417	5515	72275
1418	5518	72265
1419	5522	72254
1420	5525	72249
1421	5529	72242
1422	5532	72229
1423	5536	72222
1424	5541	72228
1425	5544	72216
1426	5548	72212
1427	5551	72204
1428	5555	72199
1429	5558	72188
1430	5562	72177
1431	5566	72172
1432	5569	72164
1433	5573	72154
1434	5576	72146
1435	5580	72148
1436	5584	72136
1437	5587	72123
1438	5591	72119
1439	5594	72109
1440	5598	72100
1441	5601	72094
1442	5605	72085
1443	5608	72073
1444	5612	72065
1445	5616	72060
1446	5619	72047
1447	5622	72042
1448	5626	72032
1449	5629	72024
1450	5633	72016
1451	5637	72015
1452	5641	72005
1453	5644	72001
1454	5648	71997
1455	5652	71993
1456	5656	71985
1457	5660	71988
1458	5664	71978
1459	5667	71972
1460	5671	71965
1461	5674	71952
1462	5678	71944
1463	5681	71930
1464	5685	71929
1465	5689	71924
1466	5693	71931
1467	5697	71924
1468	5701	71922
1469	5705	71918
1470	5708	71909
1471	5712	71905
1472	5716	71898
1473	5720	71893
1474	5723	71880
1475	5727	71880
1476	5731	71872
1477	5734	71868
1478	5738	71861
1479	5742	71857
1480	5745	71848
1481	5749	71843
1482	5753	71835
1483	5757	71834
1484	5760	71826
1485	5764	71817
1486	5768	71811
1487	5772	71810
1488	5776	71814
1489	5780	71812
1490	5784	71812
1491	5789	71812
1492	5793	71812
1493	5796	71801
1494	5800	71802
1495	5804	71791
1496	5808	71795
1497	5811	71781
1498	5814	71767
1499	5818	71764
1500	5827	71825
1501	5832	71835
1502	5846	71949
1503	5854	71995
1504	5860	72016
1505	5868	72062
1506	5877	72126
1507	5885	72170
1508	5890	72181
1509	5894	72183
1510	5899	72189
1511	5904	72192
1512	5908	72192
1513	5912	72193
1514	5917	72205
1515	5924	72229
1516	5929	72241
1517	5935	72261
1518	5939	72257
1519	5943	72256
1520	5947	72254
1521	5950	72247
1522	5955	72247
1523	5958	72240
1524	5965	72274
1525	5970	72280
1526	5974	72279
1527	5979	72281
1528	5983	72277
1529	5987	72279
1530	5991	72275
1531	5995	72270
1532	5998	72265
1533	6002	72258
1534	6006	72254
1535	6011	72268
1536	6017	72280
1537	6021	72281
1538	6025	72276
1539	6029	72272
1540	6034	72288
1541	6040	72301
1542	6043	72296
1543	6048	72301
1544	6054	72323
1545	6058	72323
1546	6064	72337
1547	6069	72347
1548	6074	72350
1549	6080	72374
1550	6085	72386
1551	6089	72381
1552	6093	72377
1553	6099	72399
1554	6103	72403
1555	6107	72394
1556	6111	72395
1557	6115	72391
1558	6120	72393
1559	6124	72398
1560	6129	72399
1561	6132	72393
1562	6136	72387
1563	6140	72380
1564	6144	72376
1565	6147	72363
1566	6151	72359
1567	6155	72354
1568	6161	72379
1569	6166	72390
1570	6171	72395
1571	6174	72383
1572	6178	72377
1573	6181	72366
1574	6185	72360
1575	6189	72352
1576	6192	72344
1577	6196	72341
1578	6200	72334
1579	6203	72324
1580	6207	72314
1581	6210	72305
1582	6214	72295
1583	6218	72300
1584	6222	72296
1585	6227	72306
1586	6231	72295
1587	6234	72289
1588	6238	72281
1589	6242	72277
1590	6245	72269
1591	6249	72260
1592	6252	72252
1593	6256	72246
1594	6260	72238
1595	6264	72235
1596	6268	72230
1597	6271	72221
1598	6275	72212
1599	6278	72203
1600	6282	72201
1601	6286	72197
1602	6290	72195
1603	6294	72191
1604	6300	72212
1605	6305	72215
1606	6308	72208
1607	6312	72204
1608	6316	72199
1609	6320	72198
1610	6325	72204
1611	6329	72198
1612	6333	72192
1613	6337	72189
1614	6341	72191
1615	6345	72185
1616	6349	72184
1617	6353	72183
1618	6359	72199
1619	6362	72190
1620	6366	72183
1621	6369	72174
1622	6374	72178
1623	6378	72175
1624	6382	72169
1625	6385	72161
1626	6390	72161
1627	6394	72160
1628	6399	72164
1629	6403	72167
1630	6409	72186
1631	6413	72180
1632	6416	72170
1633	6420	72161
1634	6423	72149
1635	6427	72143
1636	6431	72141
1637	6434	72131
1638	6438	72126
1639	6442	72119
1640	6446	72125
1641	6450	72117
1642	6454	72120
1643	6458	72109
1644	6461	72102
1645	6465	72092
1646	6468	72082
1647	6472	72077
1648	6476	72078
1649	6480	72073
1650	6484	72069
1651	6487	72058
1652	6491	72050
1653	6495	72044
1654	6498	72037
1655	6502	72030
1656	6506	72026
1657	6509	72016
1658	6513	72005
1659	6516	71998
1660	6519	71985
1661	6522	71972
1662	6526	71965
1663	6529	71953
1664	6533	71943
1665	6536	71932
1666	6539	71921
1667	6543	71916
1668	6547	71908
1669	6551	71911
1670	6555	71906
1671	6560	71912
1672	6565	71925
1673	6570	71925
1674	6574	71928
1675	6578	71926
1676	6582	71922
1677	6585	71909
1678	6589	71903
1679	6593	71900
1680	6596	71890
1681	6600	71888
1682	6604	71881
1683	6607	71871
1684	6611	71864
1685	6615	71858
1686	6619	71852
1687	6622	71846
1688	6625	71833
1689	6628	71819
